Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1043 #1,LB,0.01,1.00E-06,1.00E-05,4,1,28,23,254545454.5
SLM1043 #2,LB,0.01,1.00E-06,1.00E-05,3,3,28,29,286363636.4
SLM1043 #3,LB,0.01,1.00E-06,1.00E-05,1,2,25,23,231818181.8
SLM1043 #4,LB,0.01,1.00E-06,1.00E-05,5,4,30,28,304545454.5
SLM1043 #5,LB,0.01,1.00E-06,1.00E-05,2,1,21,23,213636363.6
SLM1043 #6,LB,0.01,1.00E-06,1.00E-05,5,2,29,27,286363636.4
SLM1043 #7,LB,0.01,1.00E-06,1.00E-05,7,3,27,25,281818181.8
SLM1043 #8,LB,0.01,1.00E-06,1.00E-05,3,1,20,27,231818181.8
SLM1043 #9,LB,0.01,1.00E-06,1.00E-05,1,6,23,18,218181818.2
SLM1042 #1,LB,0.01,1.00E-06,1.00E-05,4,4,30,27,295454545.5
SLM1042 #2,LB,0.01,1.00E-06,1.00E-05,1,2,20,23,209090909.1
SLM1042 #3,LB,0.01,1.00E-06,1.00E-05,4,4,26,24,263636363.6
SLM1042 #4,LB,0.01,1.00E-06,1.00E-05,4,2,25,30,277272727.3
SLM1042 #5,LB,0.01,1.00E-06,1.00E-05,4,2,20,30,254545454.5
SLM1042 #6,LB,0.01,1.00E-06,1.00E-05,4,5,23,15,213636363.6
SLM1042 #7,LB,0.01,1.00E-06,1.00E-05,4,3,21,30,263636363.6
SLM1042 #8,LB,0.01,1.00E-06,1.00E-05,4,3,19,30,254545454.5
SLM1042 #9,LB,0.01,1.00E-06,1.00E-05,4,4,18,23,222727272.7
SLM1043 #1,Kan,0.01,1,0.1,23,17,5,1,2090.909091
SLM1043 #2,Kan,0.01,1,0.1,32,35,4,3,3363.636364
SLM1043 #3,Kan,0.01,1,0.1,48,54,7,5,5181.818182
SLM1043 #4,Kan,0.01,1,0.1,19,19,4,1,1954.545455
SLM1043 #5,Kan,0.01,1,0.1,21,23,4,1,2227.272727
SLM1043 #6,Kan,0.01,1,0.1,24,22,2,3,2318.181818
SLM1043 #7,Kan,0.01,1,0.1,40,32,2,7,3681.818182
SLM1043 #8,Kan,0.01,1,0.1,26,30,4,4,2909.090909
SLM1043 #9,Kan,0.01,1,0.1,23,25,0,1,2227.272727
SLM1042 #1,Kan,0.01,1,0.1,7,7,1,3,818.1818182
SLM1042 #2,Kan,0.01,1,0.1,9,10,1,3,1045.454545
SLM1042 #3,Kan,0.01,1,0.1,7,11,1,3,1000
SLM1042 #4,Kan,0.01,1,0.1,19,16,4,3,1909.090909
SLM1042 #5,Kan,0.01,1,0.1,15,11,5,1,1454.545455
SLM1042 #6,Kan,0.01,1,0.1,8,14,1,2,1136.363636
SLM1042 #7,Kan,0.01,1,0.1,4,6,0,0,454.5454545
SLM1042 #8,Kan,0.01,1,0.1,4,9,0,0,590.9090909
SLM1042 #9,Kan,0.01,1.00E+00,1.00E-01,3,2,0,0,227.2727273
