Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG011 #1,LB,0.01,1e-06,1e-05,4,4,22,28,263636363.6363636
DG011 #2,LB,0.01,1e-06,1e-05,1,3,23,22,222727272.7272727
DG011 #3,LB,0.01,1e-06,1e-05,3,3,26,25,259090909.090909
DG011 #4,LB,0.01,1e-06,1e-05,1,4,29,23,259090909.090909
DG011 #5,LB,0.01,1e-06,1e-05,1,1,28,23,240909090.9090909
DG011 #6,LB,0.01,1e-06,1e-05,5,3,21,24,240909090.9090909
DG011 #7,LB,0.01,1e-06,1e-05,3,3,19,17,190909090.9090909
DG011 #8,LB,0.01,1e-06,1e-05,4,0,19,18,186363636.3636364
DG011 #9,LB,0.01,1e-06,1e-05,1,3,26,25,250000000.0
DG012 #1,LB,0.01,1e-06,1e-05,5,1,26,28,272727272.7272727
DG012 #2,LB,0.01,1e-06,1e-05,3,0,17,21,186363636.3636364
DG012 #3,LB,0.01,1e-06,1e-05,5,3,35,29,327272727.2727272
DG012 #4,LB,0.01,1e-06,1e-05,1,5,17,24,213636363.6363636
DG012 #5,LB,0.01,1e-06,1e-05,1,3,30,20,245454545.4545454
DG012 #6,LB,0.01,1e-06,1e-05,1,3,20,20,200000000.0
DG012 #7,LB,0.01,1e-06,1e-05,5,4,23,18,227272727.2727272
DG012 #8,LB,0.01,1e-06,1e-05,5,4,24,27,272727272.7272727
DG012 #9,LB,0.01,1e-06,1e-05,2,1,19,21,195454545.4545454
SLM1042 #1,LB,0.01,1e-06,1e-05,2,2,18,24,209090909.090909
SLM1042 #2,LB,0.01,1e-06,1e-05,6,3,25,24,263636363.6363636
SLM1042 #3,LB,0.01,1e-06,1e-05,6,5,19,22,236363636.3636363
SLM1042 #4,LB,0.01,1e-06,1e-05,1,5,21,26,240909090.9090909
SLM1042 #5,LB,0.01,1e-06,1e-05,4,3,31,18,254545454.5454545
SLM1042 #6,LB,0.01,1e-06,1e-05,6,2,24,23,250000000.0
SLM1042 #7,LB,0.01,1e-06,1e-05,1,3,22,20,209090909.090909
SLM1042 #8,LB,0.01,1e-06,1e-05,2,3,25,18,218181818.1818182
SLM1042 #9,LB,0.01,1e-06,1e-05,2,5,23,32,281818181.8181817
SLM1043 #1,LB,0.01,1e-06,1e-05,3,0,21,18,190909090.9090909
SLM1043 #2,LB,0.01,1e-06,1e-05,4,1,24,29,263636363.6363636
SLM1043 #3,LB,0.01,1e-06,1e-05,3,1,17,22,195454545.4545454
SLM1043 #4,LB,0.01,1e-06,1e-05,2,1,26,26,250000000.0
SLM1043 #5,LB,0.01,1e-06,1e-05,3,1,27,21,236363636.3636363
SLM1043 #6,LB,0.01,1e-06,1e-05,4,1,17,21,195454545.4545454
SLM1043 #7,LB,0.01,1e-06,1e-05,6,1,20,20,213636363.6363636
SLM1043 #8,LB,0.01,1e-06,1e-05,3,2,22,27,245454545.4545454
SLM1043 #9,LB,0.01,1e-06,1e-05,3,3,26,27,268181818.1818181
DG011 #1,Kan,0.01,1.0,0.1,37,40,5,2,3818.181818181818
DG011 #2,Kan,0.01,1.0,0.1,7,2,0,0,409.0909090909091
DG011 #3,Kan,0.01,1.0,0.1,10,11,3,1,1136.363636363636
DG011 #4,Kan,0.01,1.0,0.1,12,8,2,2,1090.909090909091
DG011 #5,Kan,0.01,1.0,0.1,8,8,1,3,909.090909090909
DG011 #6,Kan,0.01,1.0,0.1,2,2,1,2,318.1818181818181
DG011 #7,Kan,0.01,1.0,0.1,13,14,2,2,1409.090909090909
DG011 #8,Kan,0.01,1.0,0.1,3,7,1,0,500.0
DG011 #9,Kan,0.01,1.0,0.1,4,8,1,0,590.9090909090909
DG012 #1,Kan,0.01,1.0,0.1,29,32,8,3,3272.727272727273
DG012 #2,Kan,0.01,1.0,0.1,34,22,2,5,2863.636363636364
DG012 #3,Kan,0.01,1.0,0.1,23,18,1,2,2000.0
DG012 #4,Kan,0.01,1.0,0.1,26,24,9,9,3090.909090909091
DG012 #5,Kan,0.01,1.0,0.1,21,25,5,9,2727.272727272727
DG012 #6,Kan,0.01,1.0,0.1,20,24,0,2,2090.909090909091
DG012 #7,Kan,0.01,1.0,0.1,17,13,2,3,1590.909090909091
DG012 #8,Kan,0.01,1.0,0.1,26,18,5,5,2454.545454545455
DG012 #9,Kan,0.01,1.0,0.1,24,23,3,3,2409.090909090909
