Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG023 #1,Kan,0.01,1.0,0.1,34,28,1,3,3000.0
DG023 #2,Kan,0.01,1.0,0.1,17,15,0,1,1500.0
DG023 #3,Kan,0.01,1.0,0.1,34,36,7,6,3772.727272727273
DG024 #1,Kan,0.01,1.0,0.1,22,22,1,1,2090.909090909091
DG024 #2,Kan,0.01,1.0,0.1,26,36,4,3,3136.363636363636
DG024 #3,Kan,0.01,1.0,0.1,28,21,4,1,2454.545454545455
DG025 #1,Kan,0.01,1.0,0.1,29,31,5,4,3136.363636363636
DG025 #2,Kan,0.01,1.0,0.1,29,27,1,3,2727.272727272727
DG025 #3,Kan,0.01,1.0,0.1,35,36,1,8,3636.363636363636
DG026 #1,Kan,0.01,1.0,0.1,37,37,6,5,3863.636363636363
DG026 #2,Kan,0.01,1.0,0.1,48,44,10,6,4909.090909090909
DG026 #3,Kan,0.01,1.0,0.1,36,48,9,4,4409.090909090909
DG023 #1,LB,0.01,1e-06,1e-05,4,3,27,25,268181818.1818181
DG023 #2,LB,0.01,1e-06,1e-05,3,3,20,17,195454545.4545454
DG023 #3,LB,0.01,1e-06,1e-05,2,0,20,24,209090909.090909
DG024 #1,LB,0.01,1e-06,1e-05,3,3,20,25,231818181.8181818
DG024 #2,LB,0.01,1e-06,1e-05,2,5,24,35,299999999.9999999
DG024 #3,LB,0.01,1e-06,1e-05,3,2,28,20,240909090.9090909
DG025 #1,LB,0.01,1e-06,1e-05,1,2,19,29,231818181.8181818
DG025 #2,LB,0.01,1e-06,1e-05,6,4,25,19,245454545.4545454
DG025 #3,LB,0.01,1e-06,1e-05,4,0,11,30,204545454.5454545
DG026 #1,LB,0.01,1e-06,1e-05,4,4,36,30,336363636.3636363
DG026 #2,LB,0.01,1e-06,1e-05,6,2,38,32,354545454.5454545
DG026 #3,LB,0.01,10e-7,10e-6,2,1,27,33,286363636.3636363
